0.576
6	30
11	25
2	34
13	23
16	20
6	30
19	17
16	20
30	5
11	25
5	31
11	25
30	5
11	24
7	29
13	23
19	17
21	14
15	21
6	30
7	29
16	20
16	20
11	25
6	30
14	22
23	13
12	24
2	34
18	18
25	11
16	20
29	7
16	20
9	27
18	17
11	25
30	6
23	13
10	26
9	27
33	2
33	2
25	11
33	2
23	13
11	25
3	33
10	26
9	27
30	4
8	28
26	9
6	30
17	19
9	27
11	25
9	27
17	19
32	4
24	12
5	31
22	14
20	15
20	16
22	14
20	16
10	26
18	18
5	31
6	30
19	17
25	11
25	11
25	11
22	14
29	7
21	15
25	11
28	8
13	23
5	31
31	4
9	27
1	35
16	20
2	34
31	5
4	32
2	34
30	5
5	31
16	20
18	17
6	30
12	24
9	27
4	32
13	23
4	32
3	33
3	33
28	8
13	23
7	29
9	27
23	13
9	27
8	28
8	28
3	33
21	15
15	21
14	22
6	30
13	23
23	13
13	23
8	28
18	18
19	17
9	27
6	30
17	19
8	28
6	30
17	19
28	8
16	19
20	16
24	12
7	29
0	35
10	26
12	24
13	23
11	25
4	32
9	27
12	23
11	25
21	15
25	11
10	26
1	34
18	18
10	26
8	28
18	18
11	25
16	19
18	18
9	27
5	31
16	20
9	27
17	19
16	20
34	2
8	28
10	26
10	26
4	32
3	33
9	27
13	23
12	24
27	7
8	28
2	34
16	20
15	21
18	18
8	28
7	29
6	30
25	11
8	28
17	19
7	29
6	30
9	27
15	21
3	14
20	16
31	4
27	8
3	14
20	16
29	7
8	28
14	22
4	31
3	14
12	24
13	23
3	12
13	23
4	32
11	25
13	23
12	24
9	27
28	5
17	19
13	23
11	25
25	11
6	12
13	23
10	26
18	18
10	26
8	28
30	5
14	22
12	24
12	24
17	19
17	19
16	20
7	29
20	16
20	16
17	19
30	6
26	10
17	19
27	9
23	13
2	34
28	5
17	19
21	15
29	7
29	7
5	31
18	18
12	24
19	17
29	7
27	9
32	4
30	6
3	14
12	23
17	19
28	8
19	17
3	12
3	12
24	12
27	9
3	12
20	16
19	17
17	19
15	20
5	31
12	24
23	13
11	25
30	6
28	8
16	20
16	20
27	9
13	23
27	9
15	20
9	27
10	26
21	15
30	5
23	13
20	16
7	29
27	9
24	12
22	14
7	29
11	25
10	26
9	27
22	13
16	20
13	23
20	16
18	17
7	29
13	23
7	29
30	5
11	24
31	5
28	8
3	33
32	3
17	19
17	19
20	16
3	14
20	15
8	28
26	9
8	28
14	22
23	13
8	28
3	12
32	3
16	20
12	24
27	9
15	21
28	8
14	22
2	34
5	31
32	4
5	31
13	23
16	20
7	29
3	12
3	12
35	1
29	7
27	9
19	17
9	27
29	7
20	16
32	3
12	24
5	31
13	23
27	9
30	6
29	7
21	15
27	9
5	31
27	9
30	6
10	26
16	20
9	27
5	31
32	3
15	21
9	27
13	23
8	28
14	22
25	11
18	18
19	17
3	12
0	34
15	21
14	22
27	9
19	17
35	1
27	9
16	20
7	29
20	16
7	29
20	16
20	16
14	21
15	20
27	9
17	19
32	3
27	9
7	29
0	28
27	9
4	32
8	28
11	25
11	25
13	23
14	22
18	18
19	17
4	32
9	27
27	9
23	13
7	29
19	17
5	31
8	28
15	21
29	7
5	31
27	9
27	9
11	25
9	27
29	7
12	24
29	7
14	22
13	23
24	12
22	14
5	31
19	17
9	27
29	7
29	7
27	9
7	29
13	23
11	25
2	34
17	19
3	16
15	20
24	12
16	20
28	5
2	34
14	22
20	16
19	17
24	12
7	28
18	15
12	24
29	7
29	7
18	15
29	7
10	25
32	4
17	19
32	3
12	24
17	19
16	20
10	26
24	12
14	22
21	15
21	15
8	27
16	20
14	22
24	12
25	11
9	27
23	13
3	33
24	12
9	27
9	27
19	16
19	17
26	10
19	17
21	15
14	22
9	27
26	10
19	17
9	27
29	7
27	9
3	14
32	4
23	13
29	7
32	4
15	21
26	10
13	23
20	16
7	29
33	3
24	12
14	21
24	12
7	29
29	7
13	23
7	29
9	27
8	28
26	10
27	9
1	35
18	18
3	14
13	23
26	10
21	15
12	24
20	16
29	7
28	5
26	10
26	10
3	12
1	35
17	19
28	5
36	0
10	26
28	5
34	1
21	15
34	2
14	22
3	12
23	13
25	11
23	13
10	26
13	23
6	30
26	10
26	10
20	15
28	5
23	13
20	15
9	27
23	13
28	8
20	16
13	23
32	4
9	27
9	27
9	27
11	25
32	4
9	27
25	11
23	13
9	27
17	19
8	28
26	10
10	26
10	26
28	5
26	10
22	14
26	10
32	4
15	21
3	33
16	20
26	10
19	17
28	5
32	4
16	20
3	33
12	24
12	24
17	19
27	9
32	4
9	27
17	19
12	24
32	4
16	20
34	0
10	26
32	4
14	22
32	4
6	30
28	5
12	24
32	4
32	4
28	8
19	17
18	18
13	23
8	28
6	15
3	32
4	32
13	23
11	25
9	27
13	23
7	29
32	4
22	14
17	19
8	28
11	25
8	28
16	19
32	4
15	21
16	20
32	4
12	24
32	4
13	11
9	27
27	9
18	18
25	11
8	28
27	9
12	24
26	10
11	25
15	21
6	30
25	11
23	13
26	9
14	22
25	11
25	10
16	20
14	22
28	8
25	11
22	14
17	19
15	21
28	8
14	22
9	27
12	24
16	20
6	30
8	28
13	23
23	13
4	32
19	17
22	14
23	13
16	20
27	9
10	26
23	13
20	16
23	13
23	13
28	8
11	25
27	9
23	13
14	22
11	25
24	12
14	21
10	26
34	2
20	16
24	11
23	13
1	35
13	23
23	13
18	18
21	15
23	13
23	13
21	15
17	19
22	13
2	34
9	27
6	30
8	28
7	29
13	23
16	20
23	12
23	12
23	13
22	13
0	36
19	16
13	23
10	26
20	16
16	20
23	13
5	31
0	36
23	13
2	33
2	33
0	36
31	2
33	3
23	13
16	20
23	13
23	13
21	15
33	1
4	32
16	20
19	17
16	20
22	14
23	13
15	21
5	31
23	13
4	32
15	21
5	30
16	20
16	20
8	28
20	16
21	15
26	10
4	32
19	17
2	34
21	15
31	5
31	5
15	21
8	27
28	8
22	13
0	36
10	26
34	0
28	2
11	25
8	28
23	12
12	24
27	9
23	13
19	16
6	30
8	28
16	20
4	32
23	13
4	32
23	13
4	32
18	18
8	28
28	7
31	5
28	2
12	24
16	20
24	12
28	8
33	3
16	20
8	28
25	11
9	27
8	28
25	11
20	16
14	22
9	27
17	19
11	25
27	9
10	26
13	23
27	9
27	9
25	11
7	29
10	26
25	11
28	2
18	18
18	18
10	26
7	29
6	30
3	33
2	34
13	23
10	25
23	13
7	29
18	18
8	28
11	25
8	28
13	23
10	26
10	26
34	1
18	18
27	9
22	14
33	3
6	30
13	23
29	7
34	1
15	21
28	8
11	25
30	6
9	27
13	23
25	11
11	25
14	22
30	5
22	13
14	22
15	21
21	14
30	5
12	24
21	14
32	4
6	30
25	11
27	9
20	15
22	13
28	8
12	24
32	4
24	11
10	26
24	12
15	21
22	14
26	10
23	13
26	10
16	20
10	26
27	5
29	7
32	4
5	31
28	6
32	4
32	4
16	20
31	5
32	4
4	32
32	4
28	8
12	24
22	14
32	4
9	27
23	13
6	30
32	4
4	32
23	13
11	25
2	34
11	25
6	30
6	30
16	20
13	23
32	4
17	19
2	34
8	28
13	23
32	4
26	10
30	6
6	30
26	10
32	4
16	20
32	4
15	21
16	19
34	2
32	4
27	9
7	29
6	29
32	4
17	19
15	21
12	24
32	4
10	26
21	15
4	32
21	15
18	18
20	16
32	4
32	4
32	4
32	4
8	28
32	4
12	24
32	4
32	4
10	26
29	7
32	4
19	17
23	13
32	4
24	12
32	4
28	8
22	14
21	15
6	30
20	16
27	9
20	16
6	30
24	12
9	27
9	27
27	9
13	23
32	4
6	30
11	25
24	12
29	7
16	20
20	16
32	4
24	12
32	4
32	4
6	30
11	25
29	7
13	23
32	4
8	28
20	16
14	22
10	26
35	1
21	15
32	4
31	5
11	25
11	25
10	26
19	17
25	11
19	17
14	22
32	4
16	20
8	27
9	27
16	20
13	23
23	13
22	14
31	5
21	15
6	30
31	5
7	29
26	10
26	10
16	20
14	22
8	28
15	21
29	7
14	22
26	10
26	10
24	12
4	32
26	10
13	23
10	26
8	28
14	22
24	12
24	12
26	10
13	23
16	20
31	5
16	20
29	7
26	10
27	9
20	16
17	19
12	24
24	12
29	7
15	21
